demo	player	tier	split	trained_frames	raw_frames	paired_cov	peak_hspeed	p50_hspeed	source_sha256
smackdown2__FF_OC_1_dm3_Exile.qwd	exile	A	train	9025	88786	0.923	1160.1	322.1	db4ebc3b65a3f9b2e4613e83b5c59b7f49d01fc73d03df90fb2789264722ec35
smackdown__ff_ibh_1_dm3_1_exile.qwd	exile	C	train	7732	86480	0.683	1311.5	321.3	3c607187beeb3b3cd8873a97b71cd39f6b75c37015cf128af92ab2359f470dda
smackdown2__game_263_LoW_FULL_2_DM3_FC-Tiger.qwd	fc	B	train	25664	78247	0.816	1467.4	319.2	e4fc587ed2cd680f1d78960bfcbedbae18cbf9d3faf8619b31b9527b05c9310c
smackdown__ff_pietro__ff__vs___E__dm3.qwd	ff	A	train	8473	90343	0.993	1266.5	334.7	0526166b20d3da524059a183fca2338854dff5ed8ad3853e50c7c40c4c09d867
smackdown2__chtv-dg_coj_dg_vs_fff_dm3.qwd	fff	C	train	5439	87333	0.646	1253.7	336.2	be6c957ca7a93bf52fff1afbdc4c04b6901c2e8ecf2f8a28107cdc0936e3ab48
SmackDown3__game_429_CMF_PNC_1_DM3_Fifi.qwd	fifi	B	train	4635	87033	0.77	1354.0	332.5	e06fc8b822ae938f556109be9d1509bb31945938ea66be810354fb18ecc4b269
SmackDown4__game_750__sr__cmf_1_dm3_fifi.qwd	fifi	A	train	7720	88014	0.99	1623.9	323.1	39cbd13a07f5bb519c52d6b3b84fadd51aa9ea1315765d577cab1db571b0daf2
SmackDown5__game_966_cmf_para_2_dm3_fix.qwd	fix	A	train	44881	94131	0.98	1338.3	325.3	c6204ceb4047bd055b92a6e7ebf5061a4c666ba40c6a88cdb39afdd1b49d6806
smackdown2__for2_d_vs_fe_dm3.qwd	for2	B	train	10053	85909	0.841	1150.4	323.6	5a229513baeb8753f31030ea4215cb752785ce92f5c23915975d501403883ca2
SmackDown3__game_451_Quad_ED_1_DM3_Forsberg.qwd	forsberg	B	train	16317	85863	0.887	1095.1	327.8	664ac9b306ce5c5297219fc61bc6a8220c9d40ce8fbd9028c83d2151d4909040
quakeworld__CHTV_bw-Brazil_the_other_team-Brazil_bw_dm3_dm6_QWCA_HowTo__ca-frag-1.qwd	frag	C	train	112	1597	0.259	459.5	253.0	9184f221f280cb8838e4d56875ce1ee1ecf8761db2f2c2dca3e1291bc495bf6b
quakeworld__CHTV_Campbusters-Spain_FragShack-Ireland_Eta-Beta_dm3_QuakeWorld_4v4__Eta-bETa_[camp]_-_[fs]_4-4_dm3_.qwd	fs	A	train	35348	88427	0.956	1259.1	323.6	d79e00435578d4a1ef9f8f2259dd117a47e64fa235e97a46b2c36d75334323f1
quakeworld__CHTV_Firing_Squad-Netherlands_Earthquake-Netherlands_razor_dm3_QuakeWorld_4v4__fs-eq-razor.qwd	fs	A	train	77045	86776	0.991	981.1	326.8	d456dbd9665878274233f4eec8f2665247429787e9e46b77d664a8d3b6068e93
smackdown2___fs__crit__fs__vs__d_dm3.qwd	fs	A	train	8773	86594	0.919	918.5	331.4	2f35334d5d38d787f6f351c4af1d5d8dc8af5a41e26bde34645aed5e253a30f5
smackdown2___fs__crit__fs__vs__d_dm3_2.qwd	fs	A	train	8505	85286	0.909	1085.0	321.6	7fd50b6116cc8173dfffa00aff933c2b10a911b5af6f97de923b1644ff3de9fb
smackdown2__fs_vs_d_dm3_1.qwd	fs	A	train	14401	86933	0.979	1309.1	320.3	76a9897b47791859034b1fbef67d1525fdffcab07721e827874be0898f4005c2
smackdown2__fs_vs_d_dm3_2.qwd	fs	A	train	11043	86600	0.978	1358.9	322.6	354ba3f8f107fdbd952ed7345610933846569751fd03fad7b8f2967f54c0db1b
smackdown__ibh_fu_2_dm3_123.qwd	fu	A	train	10069	87655	0.904	6096.1	319.8	612d6cb5862da372d5094622a5b3f63304ce60c94093e241e4702e1588edcf3d
smackdown2__chtv-smackdown2-ag-vs-5-fuman-dm3.qwd	fuman	A	train	14478	86995	0.907	1046.4	319.6	3204acb7d4285c5ceb97604aa9a6745584befd96c4205098ed11368e70d9f353
SmackDown3__game_577_[x]_DAG_1_DM3_gator.qwd	gator	C	train	14081	87029	0.583	1209.1	324.0	9e475fe9a6158c403809e50a052353937bb0e14da26934aad821fffe966a28c9
smackdown__amd_adt_2_dm3_glad.qwd	glad	B	train	8590	86813	0.819	1176.8	321.0	0363bcfdccfab80d8bc5ba825060bd908c5eb63228638f917b5f3b2ce4dc7af5
smackdown__gds_adm_1_dm3_gobo.qwd	gobo	C	train	8422	87617	0.595	1313.2	320.2	9711825957fd435b08224c3560baa7c683fe8e633a88e5535be3316dff436341
paradoks__goldens_e_vs_4x_dm3.qwd	goldens	B	train	67880	86823	0.893	1025.0	322.2	89de5d594585fa5133ec89bb85c2f867c93bf27590c96084b3ac0b05dbeaf3d6
SmackDown4__game_690_wr__sr__1_dm3_goljat.qwd	goljat	A	train	7058	86413	0.954	1541.2	331.7	47d635ee826827bf1ccfb30e735c3495997882275dcdce641be2d4bb1fb1f6d1
smackdown2__game_271_E_CMF_2_DM3_Goljat.qwd	goljat	B	train	8528	87017	0.79	1583.0	319.8	de28ccbe3775d7b0d10545c6108765fb0d053254619d412af6a46ca6a70efc70
smackdown2__gq_ziploc__gq_vs__dg__dm3_3.qwd	gq	B	train	3928	91200	0.866	1844.8	331.4	2d4abbdaf34aa244c5fcaf109bf9b46e240129ec940fd4691a4660c2f6029bb0
smackdown__GreyFuckenSeea_gds_vs_adm_dm3.qwd	greyfuckenseea	B	train	12735	82342	0.846	1310.3	320.6	6a77209e057bc866e8876aafb111365b2b9e3481ed196eb45a4396c73fc31bf5
SmackDown5__game_870_trash_-tf-_2_dm3_hangtime.qwd	hangtime	B	train	24421	93514	0.861	1772.7	321.8	73ff7ac0786327e533696c245058ddc95db095f2f1a6d5723ff5aba3912e05da
smackdown2__DN_RC_1_dm3_Hangtime.qwd	hangtime	B	train	12617	88254	0.816	1373.6	321.4	652d54cd78ec5286f1e39ef20c69bdf229081d0d6a77a6d2c95c2ccf8dd4fbf2
smackdown2__fa_dx_1_dm3_harlsom.qwd	harlsom	C	train	5055	87347	0.649	1270.9	339.0	46f1ba339fe702ae643690ac7469fae428c215c7725b94eadd74200ed694b141
smackdown2__fa_ic_2_dm3_harlsom.qwd	harlsom	B	train	7999	86357	0.747	1398.1	325.1	8466bcd6b86bc367931b510088942d6fe9f85a000736b48ea48521bfcf457e7b
smackdown2__fa_poc_1_dm3_harlsom.qwd	harlsom	C	train	3537	85643	0.69	1297.8	334.0	3805b1d361c68e05a2db0e0eeb9361a59fbcd099af949f4763a6f056a6b2eda4
smackdown__fa_ao_1_dm3_harlsom.qwd	harlsom	B	train	5990	86676	0.736	1193.7	335.0	b3e0703628ea38cf37329356317674ee3b4192ae78e978caeb69744e93d526d1
smackdown2__foad_aok_2_dm3_hashie.qwd	hashie	B	train	11903	87900	0.74	1234.0	320.0	037aacade098971c8c1a578bf77320d8791d89cb2c8c4ba90dc15599ab4692ef
smackdown2__foad_lies_1_dm3_hashie.qwd	hashie	B	train	23245	87868	0.826	970.0	320.0	7314cdb3ddda34b16b53c0489818ddd2f5a40c4f6a2e0a3ae04fd116efcb18e7
smackdown2__foad_mu_1_dm3_hashie.qwd	hashie	B	train	22518	88482	0.776	1094.1	319.9	0eddc4aa902be4dcf09810fbdf43cff07009a62507f1d863c720fbca23cfcc3b
smackdown2__foad_rb_1_dm3_hashie.qwd	hashie	B	train	17168	87214	0.712	1171.2	318.9	335ecb837ecc8388ddc0998d7ed0a6d3a2d563b02649d7527777f94708225509
smackdown2__oc_d_1_dm3_hatti.qwd	hatti	A	train	12317	87964	0.92	2414.0	320.2	50876942f8523fd013bd157d8d2fb4b62f5c3a16bc6759df8e5d1a6558adcf89
smackdown2__oc_tfp_1_dm3_hatti.qwd	hatti	A	train	10524	87440	0.972	998.6	320.0	c9b6d92d25a00f6a9cff25fbd808e17e34a852b1623a5d13bc7904f21793ee5f
smackdown__sah-vs-ag-dm3-haze.qwd	haze	C	train	5737	85150	0.582	1312.7	336.5	3af7b29923d4550ca39081fdbd3b7615af6e42ab62390ceac60f5ca0764f2ead
quakeworld__CHTV_Dunno-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_d_vs_hf_dm3_hew.qwd	hew	A	train	43813	87022	0.935	1164.3	323.1	dabf96c325d0fad0e391651f12c41cfbeaf4e28da22d301d8459d48816b26930
SmackDown5__game_875_vm_-tf-_1_dm3_hiks.qwd	hiks	A	train	23439	93016	0.929	963.4	319.5	33113f843e278795b31d4a2d927a4d0e128c167ec5bb5a1dd9f82af83095cd85
smackdown__e-cmf_1_dm3_hixen.qwd	hixen	B	train	75240	87231	0.894	1291.3	319.2	5c4635b51d26c207a860b8b45553303c72eca51d9649920b867d974026c118d1
quakeworld__CHTV_FiringSquad-Europe_HyvatPahatjaRumat-Finland_Razor_dm3_QuakeWorld_4v4__razor[[fs]]-[hpr]_4-4_dm3_.qwd	hpr	B	train	24725	87136	0.805	865.5	322.1	92cde2ee4d43f3ad0ffa90971130b100bff5c0956716247171d2dc5d2db82657
smackdown2__dn_v_rc-dm3_ht-_sd2_.qwd	ht	B	train	12617	88254	0.816	1373.6	321.4	652d54cd78ec5286f1e39ef20c69bdf229081d0d6a77a6d2c95c2ccf8dd4fbf2
SmackDown3__game_565_Dx_List_2_DM3_i_have_a_cat_named_cece.qwd	i	B	train	6264	85618	0.885	2212.4	328.1	40417411c51a4e4941f45ebdacdcb5f4c598503c4f8a252a78fd89533a9b0acd
SmackDown3__game_591_OC_IBH_1_DM3_123.qwd	ibh	A	train	6753	87664	0.939	1383.6	307.4	31239c5f024254569a893923ec0e85b51dd63d501793cec5f8980a476523eaf4
SmackDown3__game_592_TVS_Twats_1_DM3_Ihminen.qwd	ihminen	A	train	5081	87891	0.979	2555.8	338.6	7e4d777a6dfe3ba4513716788045e61a366e7a5f819531602f6f2b67a83a03a3
quakeworld__CHTV_Tribe_of_Tjernobyl-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_tot_vs_koff_dm3_impulse.qwd	impulse	A	train	11127	86310	0.979	1394.6	320.4	b083344c45aa2b279130ae3b3758d2cba3a545a88c917d8ee57b8943f3ebc5c0
smackdown2__game_239_TOT_KOFF_1_DM3_Impulse.qwd	impulse	A	train	11127	86310	0.979	1394.6	320.4	b083344c45aa2b279130ae3b3758d2cba3a545a88c917d8ee57b8943f3ebc5c0
smackdown2__dg-vs-gq-dm3-intense.qwd	intense	B	train	24581	78016	0.884	2675.0	323.0	dd2cca75de20c70a4b279e3b12be490df66642564211ca5f2ee4f2213c826230
smackdown2__foad_aok_2_dm3_interceptor.qwd	interceptor	A	train	12376	86625	0.936	1311.0	288.5	cd3d1d38002d0f27112c4af333257edd09bccb71e4f3c3d7e7e56efdc62510e9
SmackDown3__game_430_ED_Para_2_DM3_Jac.qwd	jac	B	train	9200	88834	0.824	1150.7	327.4	a2f442ce52736f49687c1593aac47eaec9ab9eda498bcd771adb9e92e3ac54f4
SmackDown3__game_457_WR_Para_2_DM3_jac.qwd	jac	B	train	6974	87065	0.747	1030.0	330.5	fc3a16dde50b81ac11b2bc575a114656b0238a3027fc3f3e41d8a0529b8acf65
SmackDown3__game_475_Quad_Para_1_DM3_Jac.qwd	jac	B	train	5706	73960	0.875	1084.9	325.7	800deee4684b9f9f5a13f38343ec98c94ab472197434ba07e8304f91802b90f5
smackdown__rb_gds_1_dm3_jac.qwd	jac	B	train	4010	85283	0.87	1181.4	331.4	40df12a1b4066693028654d1aa085cf771171bb9c2c9705cdfc5748fc2197246
SmackDown3__game_589_OMG__L__1_DM3_Janus.qwd	janus	B	train	10644	86445	0.884	1351.1	319.4	6c50e6efcdaf2ac6b88ab553bcc883f5a53056527cd6f7f0a3cc27998469ce7d
smackdown2__CMF_OMG_1_dm3_Janus.qwd	janus	A	train	13670	86521	0.99	1111.6	299.8	27eda5a4ac3fb64f05416e325175df9ef4648af7dd8b95a60eba81d35a250d6a
smackdown2__E_omg_1_dm3_Janus.qwd	janus	A	train	8041	86991	0.932	1344.2	321.0	88e1d0c562ea2d1d4825868711c2578f2e4821cbeaed2b776e31d03cdc506aeb
smackdown2__OMG_AMD_1_dm3_Janus.qwd	janus	A	train	11347	87892	0.936	1228.5	320.7	5ff0f6ef7c0caf9e35dca3cdd6b049b97f09462d64691a51c9c6c120efce7469
smackdown2__OMG_HF_1_dm3_Janus.qwd	janus	A	train	11614	86724	0.987	1220.5	319.5	8edfba9ea090e346faf40483400c357510542ef728e724489193ea7cddceea7d
smackdown2__OMG_RC_2_dm3_Janus.qwd	janus	B	train	7721	87253	0.874	940.0	321.9	eaae10320c87d8654714611f53ce3671c8ecab2fe95095e97c7c0461068ff954
SmackDown3__game_441_OMG_AQ_2_DM3_JArreX.qwd	jarrex	B	train	4191	86679	0.823	994.0	334.6	7fee5db508c71fd96c03d59f673868acf07eb5c65b04e972dbc6418f4ea7625f
smackdown2__NS_BAD_3_dm3_Jarrex.qwd	jarrex	B	train	6837	80779	0.878	1079.6	322.5	ccfa69d620f31c68c632f136a603a9498a83aa1cfe4bfd4dec4f5b8c469ae8c4
smackdown2__FF_OC_1_dm3_Jerry.qwd	jerry	B	train	31655	87978	0.758	1172.2	319.0	b711961d8c1a62105367f1c34137fc4ca72254b77c5f75186cee864b1db7a17a
smackdown2__ff_tfp_1_dm3_jerry.qwd	jerry	B	train	18766	87922	0.793	943.7	258.2	e93228a226997edd38af22a13b4df26fdc6ecc40a76b9c702da30de2698e0677
quakeworld__CHTV_thief-Brazil_pd-Brazil_thief_dm3_QuakeWorld_Comedy__jogada_pent.qwd	jogada	C	train	103	2876	0.348	469.3	187.2	4e3278a2c664378c32477fcb764845798cb602daed4c188557f43708b8b98d38
quakeworld__CHTV_joi-Sweden_none-_joi_dm3_QuakeWorld_Trick__joi.qwd	joi	A	train	1221	1392	0.999	592.8	215.7	c78ad295161aba64782f77a91bec537e7b8f8ebcdb8da5140e976a97400510cb
quakeworld__CHTV_JSS-Russia_None-Russia_JSS_Trick_pack_QW_Trick__JSS_[dm3]_3.qwd	jss	C	train	139	407	0.646	679.7	448.8	c32859c7662d3bf34f8c86fa6c09c878b4a0b6349de447ea1d1fe2d896a3343f
SmackDown3__game_596_THDM_PoC_2_DM3_Juz.qwd	juz	C	train	9188	86153	0.677	1417.3	320.0	74854bf4d1265cf1cae6ef66cdcdf04e57a5f8ff022f66d0bae47bc20b149d51
SmackDown3__game_606_THDM_FA_4_DM3_juz.qwd	juz	B	train	10174	86854	0.825	976.7	305.0	56ef34eae210257b0136d3aa6f8a546f9a507bbc7e0d5f61567dec2046909c33
SmackDown3__game_395_antx_TAV_1_DM3_KaNG.qwd	kang	B	train	5379	80596	0.868	1308.4	327.0	dcdfdf70f2db01ad9fc4d53b432b33d85aff196e7b8c8e52fb2dba9a30b324d4
SmackDown3__game_536_MaC_PoC_1_DM3_Kwijibo.qwd	kwijibo	B	train	6961	86428	0.857	1518.9	320.4	f64c6178b558f000256dbd5e1cb9c35636e414227af2a38794f017bb2e13fcdb
quakeworld__CHTV_Swedish_Chefs-Sweden_Varius-Sweden_Lakerman_Various_QW_4v4__4on4_chefs_vs_tpc_dm3_laker.qwd	laker	B	train	61729	82308	0.892	1304.4	322.2	4ff164c280fff60d4ad39435ffa6ea190879afffafc59a60f493d1e0f656b433
quakeworld__CHTV_Swedish_Chefs-Sweden_Varius-Sweden_Lakerman_Various_QW_4v4__4on4_sc_vs_mvs_dm3_laker.qwd	laker	B	train	27131	80704	0.865	1182.9	322.7	e6d18b448ae108f96a160e289f1e4f31d080a6492f21461c5e6a2956417412ef
quakeworld__CHTV_Swedish_Chefs-Sweden_Varius-Sweden_Lakerman_Various_QW_4v4__4on4_sc_vs_sk_dm3_laker.qwd	laker	B	train	9894	81413	0.774	1659.3	323.6	c259e7ece9b89d7b3ae80b83cb6916b190069ee0c1db2e107e7c7dab8789ccfc
smackdown2__list_dx_2_dm3_lb.qwd	lb	B	train	5967	87565	0.775	1192.8	318.2	7cd593459cbcc2d55924c8c8c7b96d6f1f1383af1e3ec96c831820225bd94035
smackdown2__list_poc_1_dm3_lb.qwd	lb	B	train	2734	87028	0.742	1346.6	320.4	a1693ef4c70a191263b8c21102d8bd69b63f6fb044e8b25b04d0c4d06cdcaab2
SmackDown3__game_398_defs_-sl-_1_DM3_lhuk.qwd	lhuk	C	train	2447	60260	0.546	966.4	320.4	a993cfaa15b6b7d3eceb12fd1760af311e8973bebe0a2b62b72952891481ec15
SmackDown3__game_517_4K_Twats_1_DM3_liCE.qwd	lice	B	train	24563	87042	0.834	1021.4	331.4	b28f6ee5e190aba1dcaaadf4a4ce80b79bb5c72c29438f10247d96bda6c865c7
smackdown__z_daltons_1_dm3_luny.qwd	luny	A	train	13486	87793	0.982	956.1	325.3	7537f4b095321dfc07abf4eb0a20df74ca5267f24e9fb9233282ecbc5630e821
smackdown__z_daltons_2_dm3_luny.qwd	luny	A	train	12226	88620	0.98	1122.0	321.5	2e59b48fcff64f4c027419f9fc9d3578b3af2469470de2ef0bd72601bae9b79f
quakeworld__CHTV_DBP-Europe_SK-Europe__dm3_QuakeWorld_4v4__m8.qwd	m8	C	train	3713	88886	0.675	1213.0	300.1	49d3d99b6b291d60dc49158ddb17720cef31ace002b4c8992b008b4e596615eb
quakeworld__CHTV_Akademikerna-Sweden_Warriors_of_the_Realm-Sweden_Max_Rebo_DM3_QW_4v4__4on4_aa_vs_wr_dm3_max.qwd	max	B	train	29887	87340	0.872	1170.3	319.9	5d673ccb54debc4c1fbf2f646abd3d9b52a83e0243ff412e0c885404ac6540cf
smackdown2__oc_tfp_1_dm3_max.qwd	max	B	train	16180	86462	0.772	1078.7	320.7	a05444cbb9305aa8147ca510c74505bb69268b57e21340ae608aa9df306f8463
smackdown2__fa_thdm_1_dm3_melt.qwd	melt	B	train	3240	61021	0.856	1470.1	320.0	ea1e979fb4d477c1068de57750e73f6aa078effba2b6481a7aa810a9096220c9
SmackDown3__game_599_CMF_TVS_2_DM3_Mirage.qwd	mirage	A	train	7199	86965	0.986	1329.5	320.1	c2d546fa9bd7fb6ad3b24fa32554b976db6649cbccd50e764e0c2ecc57b9daf2
SmackDown4__game_749__fs__tvs_3_dm3_mirage.qwd	mirage	A	train	7079	87303	0.945	1269.6	323.0	036285450fe6baf6f2549cf7743c5c909db9d0502a833dd99e39c73f9e766d6f
SmackDown4__game_747_koff__sr__2_dm3_miser.qwd	miser	B	train	5939	87092	0.768	1357.2	323.9	1bd4ede91f68f8c1cfd90dffa254792f8e08b85d029df9956894e78b0e8f08c3
quakeworld__CHTV_mix-Cyprus_mix-Cyprus_vreten_dm3_QuakeWorld_4v4__mixat.qwd	mixat	B	train	13500	85911	0.772	825.3	316.0	4933687c65c1588459f6c2df0c7ade193120ea5b57ab7b2ca1e5124f2d3005c8
smackdown2__list_dx_2_dm3_miyagi.qwd	miyagi	B	train	18008	85704	0.791	1203.7	318.9	11fc9df8494f4e6c9712de2ee0a07b63054e00a076b7a46301d913303e2cd271
quakeworld__CHTV_29th-Sweden_mqb-France_belth_dm3_QuakeWorld_4v4__bELTh_[[sc]]_-_[mqb]_4-4_dm3_.qwd	mqb	B	train	20469	86393	0.875	921.6	332.5	b93c73fcabc7fccd185c45ef4f6ba4f11d0555da711143178d427b815a441824
smackdown__c_d_1_dm3_mrgib.qwd	mrgib	C	train	21502	87100	0.461	1154.7	188.0	0505514d2f085082f3868abead9b2c614704797f596a5bc2ab9fe4b860d4a2e2
smackdown__c_d_2_dm3_mrgib.qwd	mrgib	C	train	14435	86704	0.344	1174.1	250.7	6d807490ab7fb570fdb2639166cbb7db2f3b3c9fd86912106888e7bad723bf69
smackdown__cute_cleaners_1_dm3_mrgib.qwd	mrgib	A	train	39341	86655	0.917	1089.8	315.4	2823cc052ddac7c52788465a4bf4d67c7065c3c672f52ad58844f6d807c4e7d0
smackdown__murdock_vs_code_dm3.qwd	murdock	B	train	4891	86825	0.77	1212.7	326.7	8fa4e722d13ef300fdadc441c05a2518b87aeb53f35d2ac7035cd778c969e851
smackdown__na-sd-final-ag-vs-lod-haze-dm3.qwd	na	A	train	7012	83841	0.906	1195.4	334.0	fb68795d5c253d1c437308c4de5efeced45196ab8f3b82a604caba838b9a42f9
smackdown__na-sd-final-ag-vs-lod-snakes-dm3.qwd	na	B	train	11995	79132	0.822	1767.9	319.5	04099127989d789d03a9dfa3d7521d46107b836a9bf62bc62768e4ca1581d014
smackdown2__E_omg_1_dm3_Nalle.qwd	nalle	B	train	18027	86662	0.778	1549.3	270.9	92d3c9bbc7232cdedb89cdadb08d015b5dc8ed2d33accc0282ed94a73d4cff5b
smackdown2__OMG_HF_1_dm3_Nalle.qwd	nalle	B	train	12856	80462	0.76	1041.4	324.0	ce937a80d9b35b47bf41756ab8a1679483a71976aed2003c75e0d62f1f4c235a
smackdown2__OMG_RC_2_dm3_Nalle.qwd	nalle	A	train	16526	86050	0.905	1302.3	320.0	9b86aee08480e0fe8ed9174f43ba23e354da75bb88ffee106df5710435350781
smackdown2__rb_aok_2_dm3_necro.qwd	necro	C	train	5956	87021	0.675	1743.6	327.0	97ec19afbd165c141d7668893c8ea41ecf812917c042d347720a04d78ae7f8b8
smackdown__rb_adm_1_dm3_necro.qwd	necro	B	train	2724	60752	0.732	755.1	327.0	f86d416c452db00c3167aa72921bf411c860aa4d2e10d6817e9b3b9dab22121d
smackdown__rb_fa_1_dm3_necro.qwd	necro	B	train	6573	60722	0.717	1118.4	319.4	e2e2159822ae5b9a8ee5c40f8ee59095bdfb406c837fc54ec13bd1d607011812
quakeworld__CHTV_rpickup-Brazil_rpickup-Brazil_Necrophobia_dm3_QW_4v4__necrophobia_-_[4on4_blue_vs_red]_-_[dm3]_000.qwd	necrophobia	C	train	1481	57630	0.393	657.8	259.9	48cb0c58e5894e049f0d9f77487d944208aab88de213b7ab5454aa3b9829071d
smackdown2__HF_FU_1_dm3_Nepra.qwd	nepra	B	train	9943	86621	0.884	1280.6	323.9	ad8e23604e713063f8d5b0eec0361e4d87dd0b526451e6eb7047170904c382b3
SmackDown3__game_563_THDM_FOAD_1_DM3_neva.qwd	neva	C	train	6975	86356	0.69	1108.9	297.6	fc2bd5663ab5af62d0a5cd4c71a22fb6452461a1f3717d52f1e8d4ea7133f4f4
SmackDown3__game_562_THDM_MaC_1_DM3_Nevamind.qwd	nevamind	B	train	7020	86758	0.71	949.0	319.5	4c260455c4bd8522eb9861e3b1e92453688150dc5d4d16edae1390082a971fc3
SmackDown3__game_596_THDM_PoC_2_DM3_Nevamind.qwd	nevamind	B	train	7305	86500	0.829	1215.8	320.1	f11db132b12e184d717ce2dce8aad3b23d9eaafe8435e05b912d9b57012b9212
SmackDown3__game_606_THDM_FA_4_DM3_nevamind.qwd	nevamind	B	train	8614	86666	0.714	1516.0	320.2	a4f8736cc77c92d20560f5429c11261ac8112879946a210db904f24696add651
SmackDown4__game_726_thdm_if_1_dm3_nevamind.qwd	nevamind	A	train	8662	88743	0.9	993.9	323.0	3c6052e7f6ff04e3622343b16425469c4aac7460fc35fbf6c17aec814e1880c1
SmackDown5__game_776_list_thdm_2_dm3_nevamind.qwd	nevamind	B	train	9122	92099	0.87	910.4	321.0	fdeac39e53d7c08cad4a4d42d6f177059fdd910fa598aa0013efc001b8635d25
SmackDown5__game_844_jams_amd_1_dm3_nih.qwd	nih	A	train	25650	93639	0.931	2041.6	322.6	e7e7940af893ea860586ef22f9d46049d09a0f54f3e7e9eab114a20aa576f1e6
quakeworld__CHTV_Spartacus-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4__s__vs_tot_dm3_nikita.qwd	nikita	B	train	28637	83257	0.712	1366.2	320.4	d86793414e31fe481d9408597567b712019df2cdd23e6d3e79b5852a938b15ae
quakeworld__CHTV_O_Cla_[6]-Brazil_Lords_of_War_[LoW]-Brazil_doob_dm3_QW_3v3__2004-09-10_3on3_low_vs_[oc]_dm3_000.qwd	oc	C	train	1735	93463	0.578	2338.8	319.9	f20a31b1d6988a076b891e64d0db6509ff8c601223327a3cb7b66e662f505405
quakeworld__CHTV_6_-_O_cla-Brazil__Anm_-_Animaniacs-Brazil_memil_dm3_QuakeWorld_4v4__6.memil_-_[4on4_ocla[vs]1]_-_[dm3]_000.qwd	ocla	C	train	7142	94145	0.497	921.9	207.6	52a1608527898861135b07275112bba9905bcdf4ebe98a15dbdbdb61ebfc4c59
SmackDown3__game_433_Quad_TOT_2_DM3_oddjob.qwd	oddjob	B	train	6201	88948	0.859	941.2	327.9	aaa8d2d0036ea37a333e9a2cb7b16f9a1f2edc345e6521a8ccc99a5953632dce
quakeworld__CHTV_Tribe_of_Tjernobyl-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_tot_vs_e_dm3_oddjob.qwd	oddjob	A	train	13698	89065	0.991	1399.4	319.8	2f3d08bbae0cde20a1b7c509a352d099d5c20d84844e127c4606c3e9002f8d96
smackdown2__tot_para_1_dm3_oddjob.qwd	oddjob	A	train	6009	90195	0.956	1691.2	327.9	7b2f00220cc906c45296ee28c8196bf53c0f1e610904512b25c1929f41b4987a
quakeworld__CHTV_Nine-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_9_vs_dr_dm3_okkun.qwd	okkun	A	train	41847	97295	0.976	1460.4	319.8	528844f7f05f5f62a6877edf0a51afda1d68497a1b1d88dcbcfb4f369d8d9aa0
smackdown2__foad_mu_1_dm3_orion.qwd	orion	A	train	26059	73901	0.95	1374.5	304.9	e0266ce9711d15cc9fed753e76d54b0e2f1138b024c2689dab4b0c9664b79661
smackdown2__thdm_foad_2_dm3_orion.qwd	orion	A	train	28938	74027	0.925	884.2	184.3	df398bb4f523d6fa1e6bad7ad19caf7fd3d95d694dd8ab02bd51f38c12f409fc
SmackDown3__game_536_MaC_PoC_1_DM3_Pace.qwd	pace	B	train	8317	81836	0.869	1377.5	322.1	e84f5dc9c55abc92be5dd9693ad6a90beaa6200baed34a54230af55d8c6fa4f9
SmackDown3__game_562_THDM_MaC_1_DM3_Pace.qwd	pace	B	train	8438	79848	0.759	1416.7	296.1	837d76191bb4bd1d68a6c5ccd86d09d4fae7f7b866685d9bcf05f533b6a9b2fc
quakeworld__CHTV_Nine-Sweden_Various-Sweden_Various_Various_QW_4v4__4on4_9_vs_uk_dm3_para.qwd	para	A	train	57424	69673	0.987	1199.3	320.8	5dfc10cad0b263107ac9bcbaf659ec6d4126fb6ebf5a15323cf1638f6900999b
smackdown2__para_fu_1_dm3_PARA.qwd	para	A	train	12248	97918	0.975	1206.4	321.0	2d8cfd08b8b7c931cd1eb5833ef6e4804960c4a339422d226aba0f366bb760e1
smackdown__para_smackdown_finals_vs_ff_dm3_2.qwd	para	A	train	19734	86035	0.924	1174.6	323.9	be313db19d6dffdcade11dbf0b6304e93b829e92e1669efc7a3391515abe5e19
smackdown__para_smackdown_finals_vs_ff_dm3_3.qwd	para	A	train	19172	85743	0.935	1165.5	322.6	2881fa0afe5122be23028459776f8c657f6c94649d62d023746178a4c2d26dea
smackdown__smackdown_semifinals_tvs_dm3_para.qwd	para	A	train	35656	87562	0.904	1394.2	321.6	67392d104a9d4f86f1a409d3f462d870653775300c91fa8194d06882408cac8c
SmackDown3__game_600_Diva_]SR[_3_DM3_Paradoks.qwd	paradoks	A	train	9311	86118	0.99	1402.4	321.5	52677727c65dfe2af2be7443f9cb12d930dff3acd12fda60dd6b854d9ce5f9a4
SmackDown5__game_1013_sr_fs_1_dm3_paradoks.qwd	paradoks	A	train	38513	87605	0.995	964.1	326.5	fa4285d1153e4602bf8d6a9bde030ed5e571fa28f34a5a889ef9239e54ea2b31
